metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,56.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,56.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,56.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,53.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
jvm.threads.live,The current number of live threads including both daemon and non-daemon threads,threads,VALUE,54.0,,
